City, Country, Time
Rome, IT,2011
Barcelona, ES, 2011
Alanya, TR, 2012
Hurghada, EG, 2013
Djerba, TN, 2014
Porec, HR, 2015
Rapallo, IT, 2017
Tallinn, EE, 2015
Bugøynes, NO, 2016
St Petersburg, RU, 2015
Amsterdam, NL, 2016
Cork, IR, 2017
Prague, CZ, 2016
Vienna, AU, 2015
Bratislava, SK, 2017
Guadalajara, MX, 2017
Puerto Vallarta, MX, 2017
Vancouver, CN, 2019
Honolulu, US, 2019
Seattle, US, 2019
San Francisco, US, 2017
Las Vegas, US, 2018
Grand Canyon, US, 2018
Austin, US, 2018
Chicago, US, 2016
New York, US, 2016
Denver, US, 2019
San Diego, US, 2017
San Antonio, US, 2018
Houston, US, 2018
Lake Tahoe, US, 2019
Peschici, IT, 2009
Stockholm, SW, 2016
Helsinki, FI, 2016
Los Angeles, US, 2017
Krakow, PL, 2010
Cologne, DE, 2000
Dresden, DE, 2016
Berlin, DE, 2016
Munich, DE, 2000
Salzbug, AU, 2015
Milan, IT, 2016
Rimini, IT, 2005
